latlong,postal_code,postal_sector,postal_district,general_location
"1.439607,103.791327",730831,73,25,"Kranji, Woodgrove"
"1.316595,103.915987",458048,45,15,"Katong, Joo Chiat, Amber Road"
"1.400429,103.917611",823663,82,19,"Serangoon Garden, Hougang, Punggol"
"1.3119625,103.9193155",459626,45,15,"Katong, Joo Chiat, Amber Road"
"1.4381648,103.8300789",768078,76,27,"Yishun, Sembawang"
"1.4539963,103.8162258",750403,75,27,"Yishun, Sembawang"
"1.3887022,103.8742486",792406,79,28,Seletar
"1.341595,103.845511",310112,31,12,"Balestier, Toa Payoh, Serangoon"
"1.333634,103.91695",470623,47,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.3078434,103.8591488",200002,20,8,Little India
"1.3739641,103.8854178",530682,53,19,"Serangoon Garden, Hougang, Punggol"
"1.360436,103.962761",NIL,NI,,
"1.346297,103.855822",570155,57,20,"Bishan, Ang Mo Kio"
"1.382495,103.764102",670543,67,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.336238,103.738213",600102,60,22,Jurong
"1.3102669,103.9209931",457643,45,15,"Katong, Joo Chiat, Amber Road"
"1.44655,103.813291",753362,75,27,"Yishun, Sembawang"
"1.324308,103.854633",328742,32,12,"Balestier, Toa Payoh, Serangoon"
"1.351286,103.939243",520902,52,18,"Tampines, Pasir Ris"
"1.3257666,103.9111599",417460,41,14,"Geylang, Eunos"
"1.447381,103.802631",731782,73,25,"Kranji, Woodgrove"
"1.3170639,103.8895688",389757,38,14,"Geylang, Eunos"
"1.324592,103.924035",461029,46,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.367381,103.87752",546685,54,19,"Serangoon Garden, Hougang, Punggol"
"1.3199803,103.7427194",600036,60,22,Jurong
"1.309681,103.826641",259983,25,10,"Ardmore, Bukit Timah, Holland Road, Tanglin"
"1.3514409,103.889365",530170,53,19,"Serangoon Garden, Hougang, Punggol"
"1.383998,103.899085",543209,54,19,"Serangoon Garden, Hougang, Punggol"
"1.383058,103.763161",670539,67,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.369055,103.875247",550150,55,19,"Serangoon Garden, Hougang, Punggol"
"1.3644658,103.870981",556215,55,19,"Serangoon Garden, Hougang, Punggol"
"1.359041,103.846849",570236,57,20,"Bishan, Ang Mo Kio"
